;nu_Contrato;qtdContratosAditivos
3858;160892015;1
3861;160922015;1
3865;161022015;1
3867;161032015;1
3868;161042015;1
3869;161052015;1
3870;161092015;1
3871;161112015;1
3873;161132015;1
3874;161272015;1
628;000432003;1
3897;163752014;1
3895;163022015;1
3894;163012015;1
3893;162942015;1
3892;162932015;1
3891;162912015;1
3904;164032015;1
3890;162532013;1
3885;161912015;1
3883;161692015;1
3882;161662015;1
3880;161532014;1
3879;161482015;1
3878;161402015;1
3888;162012015;1
4022;208022014;1
3937;1TP012008;1
3939;1TP022008;1
3991;206412014;1
3992;206432014;1
3993;206432015;1
3994;206482015;1
3996;206542014;1
515;000352003;1
514;000352002;1
3997;206552015;1
3999;206572015;1
4000;206582015;1
4001;206602013;1
4002;206612013;1
4003;206622013;1
4004;206632013;1
4005;206652015;1
4006;206672015;1
4007;206682015;1
4018;206902015;1
4017;206882015;1
4016;206872015;1
4015;206762015;1
493;000332008;1
4014;206742015;1
3990;206352015;1
4013;206732015;1
4011;206712015;1
4010;206712014;1
4009;206702015;1
4008;206702014;1
501;000332016;1
502;000342002;1
4012;206722015;1
3938;1TP022007;1
3988;206302015;1
3985;206162015;1
3940;1TP022009;1
3941;1TP052010;1
3942;200012012;1
3943;200012013;1
3946;200022015;1
3947;200032010;1
3948;200032011;1
3949;200032012;1
555;000382004;1
3950;200042010;1
552;000372016;1
3952;200122011;1
3953;200132005;1
3956;200142014;1
3957;200152013;1
3958;200162011;1
3959;200182011;1
3984;206152015;1
3983;206042013;1
3981;205232014;1
3980;205012015;1
3978;204052014;1
3976;204012014;1
3986;206252015;1
3972;202102014;1
3969;201272014;1
3968;201112014;1
3967;201102015;1
3966;201092012;1
3964;201022015;1
3961;200732004;1
3971;202042015;1
4176;310002013;1
4180;330032015;1
4183;330102015;1
4397;CV2512013;1
4398;CV28A2013;1
4399;CV29A2013;1
4401;D00412013;1
4403;DI5012013;1
4404;DL1612013;1
4406;G00042009;1
4407;G00082009;1
4408;I00022010;1
4409;IN0012013;1
103;000082002;1
4410;IN0032013;1
4411;IN0042014;1
4414;IN0412013;1
4415;IN3012011;1
4416;O11012012;1
4417;O11022012;1
4434;PP0712013;1
4433;PP0522013;1
4432;PP0512013;1
4431;PP0412013;1
4430;PP0342013;1
4429;PP0312013;1
4396;CV20A2013;1
4428;PP0302013;1
4426;PP0222013;1
4425;PP0082013;1
4423;PP0052013;1
4422;PP0042013;1
4421;P80012013;1
4420;P04012013;1
4427;PP0232013;1
4435;PP07A2013;1
4395;CV15B2013;1
119;000092004;1
4361;CC2512013;1
4362;CC2612013;1
150;000112004;1
4364;CC2912013;1
4365;CC3412013;1
4366;CC3512013;1
4367;CC4012013;1
4368;CC5012013;1
4369;CC8012011;1
4370;CD0062010;1
4371;CO0012009;1
4373;CO0012013;1
4376;CO2012012;1
4377;CO3012012;1
4378;CP0022012;1
135;000102004;1
4379;CP0212013;1
4391;CV0262013;1
4390;CV0252013;1
4389;CV0232010;1
4388;CV0102013;1
4387;CT0412013;1
4386;CP1012011;1
4394;CV15A2013;1
4385;CP0322013;1
4383;CP0252013;1
4382;CP0242013;1
4381;CP0232013;1
131;000092016;1
132;0000 2013;1
4380;CP0222013;1
4384;CP0312013;1
4359;CC2212013;1
4436;PP07B2013;1
76;000062004;1
4478;PP33A2013;1
4479;PP35A2013;1
4480;PP35B2013;1
4481;PP35C2013;1
4482;PP36A2013;1
4483;PP36B2013;1
4484;PP36C2013;1
4485;PP36D2013;1
4486;PP36E2013;1
4487;PP36F2013;1
4488;PP9012013;1
4489;RP0012013;1
4490;RP0022013;1
4491;SECOBPMCG;1
4494;SRP162013;1
4496;TP0012010;1
4500;TP0022010;1
4524;c00052012;1
4523;V16012011;1
4521;TP3012013;1
4520;TP2442011;1
4517;TP1712013;1
4516;TP1112013;1
4477;PP29A2013;1
4515;TP0142008;1
